Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer
Taco stand,California,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.49,3,4,2,5,5,1,3,5,4,3,4,Yes,Elynn
Taco stand,California,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.49,1,4,3,4,4.5,5,4.5,3,4.5,4,4,Yes,Sandra
Taco stand,Carne asada,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.89,4,4,2,4,3,4,4,4,3.5,4,3.5,Yes,Brent
Taco stand,Shrimp,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,8.95,5,4,4,5,5,5,4,5,5,5,5,Yes,Sankeerth
Vallarta express,California,5/9/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6.95,4,3,3.5,2,3.5,3,2.5,2.5,2.5,2,2.9,No,Scott
Lolita's taco shop,California,5/12/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7,3.5,3,5,3,3.5,3,1.5,3,3,4,3.3,No,Scott
Lolita's taco shop,2 in 1,5/12/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,8.75,3,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7,Yes,Bankole
Lolita's taco shop,2 in 1,5/12/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,8.75,4,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8,Yes,Katie
Rigoberto's Taco Shop,El Rusio,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6.65,4,3,4.5,2.5,2,3.5,5,1.5,2,1.5,2.5,No,Scott
Rigoberto's Taco Shop,Carne asada,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6.6,4,4,3.5,4,4,3.5,4,4,4.5,4.5,4,Yes,Ricardo
