id	o_id	dcterms_title	pa_relurl	dcterms_creator	dcterms_type	pa_streetAddress	pa_streetName	pa_streetNumber	pa_seriesTitle	pa_access	ImageURL	media_link 1	media_link 2	media_link 3	media_link 4	media_link 5	dcterms_description	dcterms_identifier2	pa_access2	x	y
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/619	619	Kodak Girl	http://www.wall-therapy.com/case-3/case-kodak-girl/	Case	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/59dcd8b036c740f64d1bae7a0da8a903d9a91532.png	59dcd8b036c740f64d1bae7a0da8a903d9a91532.png						slug:10311		-77.620887	43.162292
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/620	620	The Ones We Love	http://www.wall-therapy.com/sarah-c-rutherford-2/sarah-c-rutherford-the-ones-we-love/	Sarah C. Rutherford	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/cc5bee6c176a8d934b45d126861d1de890e3c394.png	cc5bee6c176a8d934b45d126861d1de890e3c394.png						slug:10312		-77.59820047	43.14951677
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/621	621	The Red Dress	http://www.wall-therapy.com/jarus-2/jarus-the-red-dress/	Jarus	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/429623af888a10e25c7e2bec6b0f1de032f5fbab.png	429623af888a10e25c7e2bec6b0f1de032f5fbab.png						slug:10313		-77.6245826	43.138937
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/622	622	Understand	http://www.wall-therapy.com/adam-francey-2/adam-francey-understand/	Adam Francey	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/ba0c192558077cafbabd79a0c18fc0bffbc2c1c4.png	ba0c192558077cafbabd79a0c18fc0bffbc2c1c4.png						slug:10314		-77.6044551	43.14289106
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/623	623	I am, Yo Soy	http://www.wall-therapy.com/lny-2/lny-i-am-yo-soy/	LNY	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/f353642d91b86ac58dbf16abb9d1d38c09e960f7.png	f353642d91b86ac58dbf16abb9d1d38c09e960f7.png						slug:10315		-77.60774962	43.18044493
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/624	624	This is WALL\THERAPY		Lea	mural paintings (visual works)	15 Henrietta Street, Rochester, NY 14620	Henrietta Street	15	WALL\THERAPY 2013	Outdoor	https://public-art.dslab.digitalscholar.rochester.edu/files/original/cdc938fb7ddba13380f51df86ce9eed15c11cfe9.png	cdc938fb7ddba13380f51df86ce9eed15c11cfe9.png					This mural depicts an artist painting details onto a wall.	slug:10316	Outdoor	-77.59547	43.139712
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/625	625	Untitled - (Colorful Wave)	http://www.wall-therapy.com/mike-ming-2/mike-ming-untitled-colorful-wave/	Mike Ming	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/26050d998365179f81e949d80b5fed96c9af47ad.png	26050d998365179f81e949d80b5fed96c9af47ad.png						slug:10317		-77.60446247	43.14299234
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/626	626	Untitled - (Boy and a City)	http://www.wall-therapy.com/chris-stain-2/christ-stain/	Chris Stain	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/5f0bed9c5d236402a3ff9fe6472b4f3afe4d0f74.png	5f0bed9c5d236402a3ff9fe6472b4f3afe4d0f74.png						slug:10318		-77.5894244	43.1645087
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/627	627	The Thing	http://www.wall-therapy.com/freedom-2/freedom-the-thing/	Freedom	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/0d148eb7d9cb69f66df46758b299630d9dc3236c.png	0d148eb7d9cb69f66df46758b299630d9dc3236c.png						slug:10319		-77.6079154	43.1539821
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/628	628	I Got You	http://www.wall-therapy.com/elicser/elicser-i-got-you/	Elicser	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/e4e4f18c0d7be148c3da6a2ad5729cc7d6f1bafc.png	e4e4f18c0d7be148c3da6a2ad5729cc7d6f1bafc.png						slug:10320		-77.6244432	43.1531876
