Location,Burrito,Number of Burritos,Date,Neighborhood,Address,JSON,lon,lat,Coverage,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa2,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Place,By
Filiberto's,Adobada,2,2017-05-02,Encinitas,476 S Coast Hwy 101,"[{""place_id"":""161076168"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""408662158"",""boundingbox"":[""33.0462621"",""33.0463661"",""-117.2943334"",""-117.2940532""],""lat"":""33.0463091"",""lon"":""-117.294205297704"",""display_name"":""Filiberto's, 476, South Coast Highway 101, Encinitas, San Diego County, California, 92024, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.631,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Filiberto's"",""house_number"":""476"",""road"":""South Coast Highway 101"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92024"",""country"":""United States of America"",""country_code"":""us""}}]",-117.294205297704,33.0463091,POINT(-13057131.2067 3901452.33627),<a href='https://www.yelp.com/biz/filibertos-encinitas-2'>https://www.yelp.com/biz/filibertos-encinitas-2</a>,3,3.8,,6.25,4.4,,,,,,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7,,Scott,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloria's Taco Shop,California ,2,2016-12-02,South Park,1233 28th St,"[{""place_id"":""130428261"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""260211404"",""boundingbox"":[""32.7138789"",""32.7179342"",""-117.1338341"",""-117.1337671""],""lat"":""32.715839"",""lon"":""-117.133774"",""display_name"":""28th Street, North Park, San Diego, San Diego County, California, 92102, United States of America"",""class"":""highway"",""type"":""tertiary"",""importance"":0.435,""address"":{""road"":""28th Street"",""suburb"":""North Park"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92102"",""country"":""United States of America"",""country_code"":""us""}}]",-117.133774,32.715839,POINT(-13039272.0764 3857646.79906),<a href='https://www.yelp.com/biz/glorias-taco-shop-san-diego'>https://www.yelp.com/biz/glorias-taco-shop-san-diego</a>,4,4.3,,5.65,3,,,19.5,22,0.75,4,1.5,2,3,4.2,4,3,2,4.5,2.7,No,Scott,Horchata tasted like bubble gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,4,2016-05-20,La Jolla,Marshall College,[],,,,<a href='https://www.yelp.com/biz/goodys-place-and-market-la-jolla'>https://www.yelp.com/biz/goodys-place-and-market-la-jolla</a>,3.5,4.1,,7.25,3.5,,,18.5,22.5,0.75,1.5,1,2,2,2,2,2,2,1,1.8,No,Scott,Grocery store tortilla; cold guac,,,x,x,x,x,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,
Goody's,Custom,4,2011-05-16,La Jolla,,"[{""place_id"":""59908031"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4840618776"",""boundingbox"":[""32.8135005"",""32.8535005"",""-117.2816203"",""-117.2416203""],""lat"":""32.8335005"",""lon"":""-117.2616203"",""display_name"":""La Jolla, San Diego, San Diego County, California, 92037, United States of America"",""class"":""place"",""type"":""suburb"",""importance"":0.3725,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/poi_place_village.p.20.png"",""address"":{""suburb"":""La Jolla"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2616203,32.8335005,POINT(-13053503.8614 3873224.7354),,,,,8,4,,,,,,3,,2,3,2,3,2,3,2,2,No,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only.",x,,x,x,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,4,2016-05-20,La Jolla,,"[{""place_id"":""59908031"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4840618776"",""boundingbox"":[""32.8135005"",""32.8535005"",""-117.2816203"",""-117.2416203""],""lat"":""32.8335005"",""lon"":""-117.2616203"",""display_name"":""La Jolla, San Diego, San Diego County, California, 92037, United States of America"",""class"":""place"",""type"":""suburb"",""importance"":0.3725,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/poi_place_village.p.20.png"",""address"":{""suburb"":""La Jolla"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2616203,32.8335005,POINT(-13053503.8614 3873224.7354),,,,,8,3,,,,,,3,,1,2,2,2,2,2,1,2,No,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,x,,,,,x,,x,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,
Graciela's Taco Shop,Adobada ,2,2016-02-14,Bonita,5047 Central Ave,"[{""place_id"":""166916345"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436435112"",""boundingbox"":[""32.6685295"",""32.668716"",""-117.0235496"",""-117.022919""],""lat"":""32.6685295"",""lon"":""-117.0235496"",""display_name"":""Central Avenue, Chula Vista, San Diego County, California, 91902, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.335,""address"":{""road"":""Central Avenue"",""city"":""Chula Vista"",""county"":""San Diego County"",""state"":""California"",""postcode"":""91902"",""country"":""United States of America"",""country_code"":""us""}}]",-117.0235496,32.6685295,POINT(-13027001.9523 3851388.99617),<a href='https://www.yelp.com/biz/gracielas-taco-shop-bonita-2'>https://www.yelp.com/biz/gracielas-taco-shop-bonita-2</a>,4,4.5,,5.99,3,,,,,,4,4,3,3.5,4,4.5,4,4,4.5,4,,Scott,Salsa verde spicy,,,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Jorge's Mexicatessen,California ,2,2016-04-24,Encinitas ,267 N El Camino Real,"[{""place_id"":""164844856"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436279515"",""boundingbox"":[""33.0658339"",""33.0676699"",""-117.2623777"",""-117.2623203""],""lat"":""33.0674162"",""lon"":""-117.2623249"",""display_name"":""North El Camino Real, Encinitas, San Diego County, California, 92024, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.645,""address"":{""road"":""North El Camino Real"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92024"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2623249,33.0674162,POINT(-13053582.2971 3904255.75899),<a href='https://www.yelp.com/biz/jorges-mexicatessen-encinitas'>https://www.yelp.com/biz/jorges-mexicatessen-encinitas</a>,4,4.5,,5.95,3.5,,,20,22,0.77,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Yes,Scott,"Cheese should be melted, potatoes are very good",,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose's Taco,California,1,2016-10-05,Oceanside,3910 Vista Way,"[{""place_id"":""5829425"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596999217"",""boundingbox"":[""33.184459"",""33.184559"",""-117.293761"",""-117.293661""],""lat"":""33.184509"",""lon"":""-117.293711"",""display_name"":""3910, Vista Way, Oceanside, San Diego County, California, 92056, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.531,""address"":{""house_number"":""3910"",""road"":""Vista Way"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92056"",""country"":""United States of America"",""country_code"":""us""}}]",-117.293711,33.184509,POINT(-13057076.1818 3919820.13359),<a href='https://www.yelp.com/biz/joses-taco-oceanside'>https://www.yelp.com/biz/joses-taco-oceanside</a>,4,3.8,,6.1,4,,,22,22,0.85,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3,No,Scott ,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanita's Taco Shop,California ,2,2016-05-18,Encinitas ,290 N Coast Hwy 101,"[{""place_id"":""5331019"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596227731"",""boundingbox"":[""33.05412"",""33.05422"",""-117.297069"",""-117.296969""],""lat"":""33.05417"",""lon"":""-117.297019"",""display_name"":""290, North Coast Highway 101, Encinitas, San Diego County, California, 92024, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.631,""address"":{""house_number"":""290"",""road"":""North Coast Highway 101"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92024"",""country"":""United States of America"",""country_code"":""us""}}]",-117.297019,33.05417,POINT(-13057444.4266 3902496.33416),<a href='https://www.yelp.com/biz/juanitas-taco-shop-encinitas'>https://www.yelp.com/biz/juanitas-taco-shop-encinitas</a>,4,4.5,,5.55,3.5,,,17.5,23,0.74,4,4.5,3,3,5,3,4,3,5,3.5,Yes,Scott,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV's Mexican Food,Carne Asada,2,2016-02-06,Morena,1112 Morena Blvd,"[{""place_id"":""59033587"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4617770589"",""boundingbox"":[""32.7670173"",""32.7671173"",""-117.1998109"",""-117.1997109""],""lat"":""32.7670673"",""lon"":""-117.1997609"",""display_name"":""JV's Mexican Food, 1112, Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.421,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""JV's Mexican Food"",""house_number"":""1112"",""road"":""Morena Boulevard"",""suburb"":""Old Town"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92110"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1997609,32.7670673,POINT(-13046617.7045 3864426.70043),<a href='http://jvsmexfood.com/'>http://jvsmexfood.com/</a>,4,4.1,,6.25,3.5,,,,,,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina's Taco Shop ,Bomb,2,2016-05-15,Encinitas ,916 N Coast Hwy 101,"[{""place_id"":""6169429"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""597162667"",""boundingbox"":[""33.064753"",""33.064853"",""-117.302754"",""-117.302654""],""lat"":""33.064803"",""lon"":""-117.302704"",""display_name"":""916, North Coast Highway 101, Encinitas, San Diego County, California, 92024, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.631,""address"":{""house_number"":""916"",""road"":""North Coast Highway 101"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92024"",""country"":""United States of America"",""country_code"":""us""}}]",-117.302704,33.064803,POINT(-13058077.278 3903908.64006),<a href='https://www.yelp.com/biz/karinas-taco-shop-encinitas'>https://www.yelp.com/biz/karinas-taco-shop-encinitas</a>,4,4.2,,7.99,3,,,25.5,23,1.07,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,Yes,Scott,,,,X,,X,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
King Burrito,Adobada,2,2016-08-16,Oceanside,3490 Marron Rd,"[{""place_id"":""5936164"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596984732"",""boundingbox"":[""33.178783"",""33.178883"",""-117.294914"",""-117.294814""],""lat"":""33.178833"",""lon"":""-117.294864"",""display_name"":""3490, Marron Road, Oceanside, San Diego County, California, 92010, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.431,""address"":{""house_number"":""3490"",""road"":""Marron Road"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92010"",""country"":""United States of America"",""country_code"":""us""}}]",-117.294864,33.178833,POINT(-13057204.5331 3919065.1812),<a href='https://www.yelp.com/biz/king-burrito-oceanside-2'>https://www.yelp.com/biz/king-burrito-oceanside-2</a>,4,3.9,,4.99,3.5,,,23,19,0.66,3,3,3,3,2.5,2,2.5,3,4,2.8,No,Emily,Too much tortilla per bite,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotija Jr,California,3,2017-08-19,Del Mar,2668 Del Mar Heights Rd,"[{""place_id"":""167166450"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436308940"",""boundingbox"":[""32.9482332"",""32.9483274"",""-117.2604708"",""-117.2601224""],""lat"":""32.9482332"",""lon"":""-117.2604708"",""display_name"":""Del Mar Heights Road, Del Mar, San Diego County, California, 92014, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.635,""address"":{""road"":""Del Mar Heights Road"",""city"":""Del Mar"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92014"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2604708,32.9482332,POINT(-13053375.8996 3888434.80059),<a href='https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar'>https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar</a>,4,4.2,,6.99,4,550,0.785714286,20,21,0.7,4,5,3.5,3.8,3,2.5,3.3,4,5,3.7,,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Morena Taco Shop and Seafood,California,1,2016-09-22,Webster,5059 Federal Blvd,"[{""place_id"":""164027534"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436570265"",""boundingbox"":[""32.7272097"",""32.7272419"",""-117.0682713"",""-117.0681417""],""lat"":""32.7272097"",""lon"":""-117.0682713"",""display_name"":""Federal Boulevard, Encanto, San Diego, San Diego County, California, 92114, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.235,""address"":{""road"":""Federal Boulevard"",""suburb"":""Encanto"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92114"",""country"":""United States of America"",""country_code"":""us""}}]",-117.0682713,32.7272097,POINT(-13031980.3492 3859151.33828),<a href='https://www.yelp.com/biz/la-morena-taco-shop-san-diego'>https://www.yelp.com/biz/la-morena-taco-shop-san-diego</a>,4.5,4.7,,6.35,4,,,,,,4,2.5,4,3,4.5,2,2,3,4,3,No,Erin,"Good tortilla, good amount of food, needed guac. or salsa to balance out density of fillings.",,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Perla Cocina,Addiction,3,2016-03-30,Pacific Beach,745 Emerald St,"[{""place_id"":""5892061"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""597025258"",""boundingbox"":[""32.798046"",""32.798146"",""-117.256387"",""-117.256287""],""lat"":""32.798096"",""lon"":""-117.256337"",""display_name"":""745, Emerald Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.621,""address"":{""house_number"":""745"",""road"":""Emerald Street"",""suburb"":""Pacific Beach"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92109"",""country"":""United States of America"",""country_code"":""us""}}]",-117.256337,32.798096,POINT(-13052915.7271 3868535.1467),<a href='https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego'>https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego</a>,4.5,4.7,,7.99,3.5,,,,,,4,4,2,3,1.5,3,2.5,1,3,2.5,,Scott,Bland,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,
Lola's 7 Up Market & Deli,Shredded beef,2,2016-02-29,Carlsbad,3292 Roosevelt St,"[{""place_id"":""124469150"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""225875491"",""boundingbox"":[""33.154263"",""33.1601937"",""-117.3476998"",""-117.342827""],""lat"":""33.15691"",""lon"":""-117.345001"",""display_name"":""Roosevelt Street, Carlsbad, San Diego County, California, 92009, United States of America"",""class"":""highway"",""type"":""residential"",""importance"":0.445,""address"":{""road"":""Roosevelt Street"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92009"",""country"":""United States of America"",""country_code"":""us""}}]",-117.345001,33.15691,POINT(-13062785.7585 3916149.7098),<a href='https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad'>https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad</a>,4.5,4.9,,6,3.5,,,,,,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,,Emily,Food cooks fast but checking out is painfully slow,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,7,2016-02-24,Kearny Mesa,7305 Clairemont Mesa Blvd,"[{""place_id"":""163626679"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436324573"",""boundingbox"":[""32.8328648"",""32.8328739"",""-117.14593"",""-117.1452218""],""lat"":""32.832866"",""lon"":""-117.1458038"",""display_name"":""Clairemont Mesa Boulevard, Clairemont, San Diego, San Diego County, California, 92111-2201, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.445,""address"":{""road"":""Clairemont Mesa Boulevard"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92111-2201"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1458038,32.832866,POINT(-13040611.2276 3873140.67472),<a href='http://lolitasmexicanfood.com/'>http://lolitasmexicanfood.com/</a>,4,4.4,,8.75,3.5,,,,,,1.5,2,3,3.5,4,1,3.5,4.5,4,4,,Scott,Rolled tacos need more meat,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Los Cabos,California,2,2016-08-27,San Marcos,165 S Rancho Santa Fe Rd,"[{""place_id"":""163803215"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436259363"",""boundingbox"":[""33.1494301"",""33.1496631"",""-117.1987083"",""-117.1985266""],""lat"":""33.1495621"",""lon"":""-117.1986269"",""display_name"":""South Rancho Santa Fe Road, Villa Vista Estates Mobil Home Park, San Marcos, San Diego County, California, 92078, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.735,""address"":{""road"":""South Rancho Santa Fe Road"",""neighbourhood"":""Villa Vista Estates Mobil Home Park"",""city"":""San Marcos"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92078"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1986269,33.1495621,POINT(-13046491.4682 3915172.69858),<a href='https://www.yelp.com/biz/los-cabos-san-marcos'>https://www.yelp.com/biz/los-cabos-san-marcos</a>,4,4.1,x,5.99,4,,,18.5,21,0.65,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,No,Scott,Repeatedly get large bites of sour cream,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los palmitos,California,1,2017-04-23,Clairemont,5145 Clairemont Mesa Blvd,"[{""place_id"":""46144747"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""3269844757"",""boundingbox"":[""32.8340615"",""32.8341615"",""-117.17974"",""-117.17964""],""lat"":""32.8341115"",""lon"":""-117.17969"",""display_name"":""Los Palmitos Taco Shop, 5145, Clairemont Mesa Boulevard, Clairemont, San Diego, San Diego County, California, 92117, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.541,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Los Palmitos Taco Shop"",""house_number"":""5145"",""road"":""Clairemont Mesa Boulevard"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92117"",""country"":""United States of America"",""country_code"":""us""}}]",-117.17969,32.8341115,POINT(-13044383.4221 3873305.68329),<a href='https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego'>https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego</a>,4,4.1,x,7.1,4,,,22.5,23,0.95,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,,Scott,red-orange salsa has a slight fruity flavor that's really good,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Panchos Taco Shop,California,3,2016-11-23,Hillcrest,409 Washington St,"[{""place_id"":""21998857"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""2131738441"",""boundingbox"":[""32.749634"",""32.749734"",""-117.161327"",""-117.161227""],""lat"":""32.749684"",""lon"":""-117.161277"",""display_name"":""Los Panchos Taco Shop, 409, Washington Street, Uptown, San Diego, San Diego County, California, 92103, United States of America"",""class"":""amenity"",""type"":""fast_food"",""importance"":0.421,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_fastfood.p.20.png"",""address"":{""fast_food"":""Los Panchos Taco Shop"",""house_number"":""409"",""road"":""Washington Street"",""suburb"":""Uptown"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.161277,32.749684,POINT(-13042333.6963 3862125.63939),<a href='https://www.yelp.com/biz/los-panchos-san-diego-2'>https://www.yelp.com/biz/los-panchos-san-diego-2</a>,3,3.4,x,6.25,3,,,18,21.5,0.66,3.5,5,4,3,4,3,3.5,3.5,3,3.7,Yes,Scott,,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,9,2016-02-01,UTC,7770 Regents Rd,[],,,,<a href='http://www.primosmex.com/'>http://www.primosmex.com/</a>,3,3.7,x,9.25,3.5,,,,,,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los tacos ,Local,3,2016-06-05,Oceanside,2183 Vista Way,"[{""place_id"":""55774057"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4470601977"",""boundingbox"":[""33.182423"",""33.182523"",""-117.3409453"",""-117.3408453""],""lat"":""33.182473"",""lon"":""-117.3408953"",""display_name"":""Brooklyn Boyz Pizza, 2183, Vista Way, Pacifc Coast Plaza, Oceanside, San Diego County, California, 92054, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.531,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Brooklyn Boyz Pizza"",""house_number"":""2183"",""road"":""Vista Way"",""commercial"":""Pacifc Coast Plaza"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92054"",""country"":""United States of America"",""country_code"":""us""}}]",-117.3408953,33.182473,POINT(-13062328.714 3919549.32404),<a href='https://www.yelp.com/biz/los-tacos-oceanside'>https://www.yelp.com/biz/los-tacos-oceanside</a>,4,4.2,,7.9,3.5,,,20.5,21.5,0.75,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,Yes,Scott,,,,,X,,X,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Los Tacos 2,Al pastor tradicional ,3,2017-05-13,Oceanside,3480 Marron Rd,"[{""place_id"":""123211948"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""225875523"",""boundingbox"":[""33.1764876"",""33.1766955"",""-117.3369605"",""-117.3362034""],""lat"":""33.176549"",""lon"":""-117.33667"",""display_name"":""Marron Road, Plaza Camino Real, Carlsbad, San Diego County, California, 92008, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.235,""address"":{""road"":""Marron Road"",""commercial"":""Plaza Camino Real"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92008"",""country"":""United States of America"",""country_code"":""us""}}]",-117.33667,33.176549,POINT(-13061858.3558 3918761.40513),<a href='https://www.yelp.com/biz/los-tacos-oceanside-2'>https://www.yelp.com/biz/los-tacos-oceanside-2</a>,4.5,5,,8.25,3.8,430,0.632352941,22.5,19.5,0.68,4,,4,3,3,2.5,4,3,5,3.6,,Scott,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lourdes,Carnitas,2,2017-03-03,Encinitas,2113 San Elijo Ave,"[{""place_id"":""164456279"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436402225"",""boundingbox"":[""33.022488"",""33.0227785"",""-117.2835285"",""-117.283348""],""lat"":""33.0225991"",""lon"":""-117.283417"",""display_name"":""San Elijo Avenue, Encinitas, San Diego County, California, 92007, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.545,""address"":{""road"":""San Elijo Avenue"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92007"",""country"":""United States of America"",""country_code"":""us""}}]",-117.283417,33.0225991,POINT(-13055930.2589 3898304.00026),<a href='https://www.yelp.com/biz/lourdes-encinitas-2'>https://www.yelp.com/biz/lourdes-encinitas-2</a>,4,4.7,,7.35,3.5,415,0.691666667,21,19,0.6,3.5,3,3.5,3,4.5,4.5,4,4,5,3.75,,Emily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
